close,high,low,open,symbol,date,changePercent
237.71,240.055,235.94,236.28,MSFT,16-03-2021,0.0124
237.04,238.55,233.23,236.15,MSFT,17-03-2021,-0.0028
230.72,234.19,230.33,232.56,MSFT,18-03-2021,-0.0267
230.35,232.474,229.3496,231.02,MSFT,19-03-2021,-0.0016
235.99,236.9,230.14,230.27,MSFT,22-03-2021,0.0245
237.58,241.05,237.07,237.485,MSFT,23-03-2021,0.0067
235.46,238,235.32,237.845,MSFT,24-03-2021,-0.0089
232.34,236.94,231.57,235.3,MSFT,25-03-2021,-0.0133
236.48,236.71,231.55,231.55,MSFT,26-03-2021,0.0178
235.24,236.8,231.88,236.59,MSFT,29-03-2021,-0.0052
231.85,233.85,231.1,233.525,MSFT,30-03-2021,-0.0144
235.77,239.1,232.39,232.91,MSFT,31-03-2021,0.0169
242.35,242.84,238.0501,238.47,MSFT,01-04-2021,0.0279
249.07,249.96,242.7,242.76,MSFT,05-04-2021,0.0277
247.86,249.4,246.88,247.61,MSFT,06-04-2021,-0.0049
249.9,250.93,247.19,247.81,MSFT,07-04-2021,0.0082
253.25,254.139,252,252.77,MSFT,08-04-2021,0.0134
255.85,255.99,252.44,252.87,MSFT,09-04-2021,0.0103
255.91,257.67,254.62,254.71,MSFT,12-04-2021,0.0002
258.49,259.19,256.83,257.2573,MSFT,13-04-2021,0.0101
255.59,258.83,255.16,257.475,MSFT,14-04-2021,-0.0112
259.5,259.93,257.73,257.931,MSFT,15-04-2021,0.0153
260.74,261,257.6014,259.47,MSFT,16-04-2021,0.0048
258.74,261.48,257.821,260.19,MSFT,19-04-2021,-0.0077
258.26,260.2,256.84,257.82,MSFT,20-04-2021,-0.0019
260.58,260.68,257.25,258.94,MSFT,21-04-2021,0.009
257.17,261.78,255.64,260.21,MSFT,22-04-2021,-0.0131
261.15,261.51,257.27,257.88,MSFT,23-04-2021,0.0155
261.55,262.435,260.17,261.66,MSFT,26-04-2021,0.0015
261.97,263.19,260.12,261.585,MSFT,27-04-2021,0.0016
254.56,256.5399,252.95,256.078,MSFT,28-04-2021,-0.0283
252.51,256.1,249,255.46,MSFT,29-04-2021,-0.0081
252.18,253.08,249.6,249.74,MSFT,30-04-2021,-0.0013
251.86,254.35,251.12,253.4,MSFT,03-05-2021,-0.0013
247.79,251.21,245.76,250.97,MSFT,04-05-2021,-0.0162
246.47,249.5,245.82,249.06,MSFT,05-05-2021,-0.0053
249.73,249.86,244.69,246.45,MSFT,06-05-2021,0.0132
252.46,254.3,251.17,252.15,MSFT,07-05-2021,0.0109
247.18,251.73,247.12,250.87,MSFT,10-05-2021,-0.0209
246.23,246.6,242.57,244.55,MSFT,11-05-2021,-0.0038
239,244.38,238.07,242.165,MSFT,12-05-2021,-0.0294
243.03,245.6,241.42,241.8,MSFT,13-05-2021,0.0169
248.15,249.18,245.49,245.575,MSFT,14-05-2021,0.0211
245.18,246.59,243.52,246.55,MSFT,17-05-2021,-0.012
243.08,246.41,242.9,246.27,MSFT,18-05-2021,-0.0086
243.12,243.23,238.6,239.31,MSFT,19-05-2021,0.0002
246.48,247.95,243.86,243.96,MSFT,20-05-2021,0.0138
245.17,248.33,244.74,247.565,MSFT,21-05-2021,-0.0053
250.78,251.16,247.51,247.785,MSFT,24-05-2021,0.0229
251.72,252.75,250.82,251.769,MSFT,25-05-2021,0.0037
251.49,252.94,250.75,251.43,MSFT,26-05-2021,-0.0009
1728.24,1760.65,1707.85,1757.54,GOOG,04-01-2021,0
1740.92,1747.67,1718.015,1725,GOOG,05-01-2021,0.0073
1735.29,1748,1699,1702.63,GOOG,06-01-2021,-0.0032
1787.25,1788.4,1737.05,1740.06,GOOG,07-01-2021,0.0299
1807.21,1809.84,1773.535,1787.98,GOOG,08-01-2021,0.0112
1766.72,1794.315,1760.5201,1786.07,GOOG,11-01-2021,-0.0224
1746.55,1778.04,1725.31,1753.92,GOOG,12-01-2021,-0.0114
1754.4,1765.035,1738.01,1738.58,GOOG,13-01-2021,0.0045
1740.18,1775.01,1733.4,1753.62,GOOG,14-01-2021,-0.0081
1736.19,1756,1721.55,1738.19,GOOG,15-01-2021,-0.0023
1790.86,1809.275,1741.46,1752.25,GOOG,19-01-2021,0.0315
1886.9,1903.71,1825.53,1831.46,GOOG,20-01-2021,0.0536
1891.25,1934.86,1887.11,1898,GOOG,21-01-2021,0.0023
1901.05,1910.95,1881.76,1895.68,GOOG,22-01-2021,0.0052
1899.4,1929.58,1867.53,1920.67,GOOG,25-01-2021,-0.0009
1917.24,1925,1884.245,1888.84,GOOG,26-01-2021,0.0094
1830.79,1890,1809,1882.53,GOOG,27-01-2021,-0.0451
1863.11,1898.83,1842.64,1843.94,GOOG,28-01-2021,0.0177
1835.74,1857.28,1810.2,1846.17,GOOG,29-01-2021,-0.0147
1901.35,1922.3918,1850.93,1853.57,GOOG,01-02-2021,0.0357
1927.51,1955.76,1914.49,1922.56,GOOG,02-02-2021,0.0138
2070.07,2116.5,2018.38,2073,GOOG,03-02-2021,0.074
2062.37,2078.55,2042.59,2068.89,GOOG,04-02-2021,-0.0037
2098,2102.51,2059.33,2070,GOOG,05-02-2021,0.0173
2092.91,2123.5469,2072,2105.91,GOOG,08-02-2021,-0.0024
2083.51,2105.13,2078.54,2078.54,GOOG,09-02-2021,-0.0045
2095.38,2108.37,2063.09,2094.21,GOOG,10-02-2021,0.0057
2095.89,2102.03,2077.32,2099.51,GOOG,11-02-2021,0.0002
2104.11,2108.82,2083.13,2090.25,GOOG,12-02-2021,0.0039
2121.9,2152.68,2104.36,2104.36,GOOG,16-02-2021,0.0085
2128.31,2133.66,2098.92,2100,GOOG,17-02-2021,0.003
2117.2,2132.735,2103.71,2110.39,GOOG,18-02-2021,-0.0052
2101.14,2130.53,2097.41,2119.27,GOOG,19-02-2021,-0.0076
2064.88,2091.42,2062.14,2067,GOOG,22-02-2021,-0.0173
2070.86,2082.01,2002.02,2025.01,GOOG,23-02-2021,0.0029
2095.17,2100.78,2038.13,2041.83,GOOG,24-02-2021,0.0117
2031.36,2094.88,2021.29,2067.45,GOOG,25-02-2021,-0.0305
2036.86,2071.0099,2016.06,2050.52,GOOG,26-02-2021,0.0027
2081.51,2086.52,2046.1,2056.52,GOOG,01-03-2021,0.0219
2075.84,2104.37,2071.26,2076.19,GOOG,02-03-2021,-0.0027
2026.71,2088.518,2010,2067.21,GOOG,03-03-2021,-0.0237
2049.09,2089.24,2020.27,2023.37,GOOG,04-03-2021,0.011
2108.54,2118.11,2046.415,2073.12,GOOG,05-03-2021,0.029
2024.17,2128.81,2021.61,2101.13,GOOG,08-03-2021,-0.04
2052.7,2078.04,2047.83,2070,GOOG,09-03-2021,0.0141
2055.03,2075,2033.37,2071.76,GOOG,10-03-2021,0.0011
2114.77,2125.7,2072.38,2074.06,GOOG,11-03-2021,0.0291
2061.92,2090.26,2047.55,2085,GOOG,12-03-2021,-0.025
2066.49,2067.06,2043.51,2062.3,GOOG,15-03-2021,0.0022
2092.52,2123.56,2070,2078.99,GOOG,16-03-2021,0.0126
2091.08,2109.78,2054,2076.03,GOOG,17-03-2021,-0.0007
2036.22,2075.5,2033.55,2061,GOOG,18-03-2021,-0.0262
2043.2,2053.1,2017.68,2042.05,GOOG,19-03-2021,0.0034
2038.59,2057.99,2026.07,2041.84,GOOG,22-03-2021,-0.0023
2052.96,2072.3025,2039.22,2051.7,GOOG,23-03-2021,0.007
2045.06,2078.21,2041.555,2065.37,GOOG,24-03-2021,-0.0038
2044.36,2058.87,2010.73,2044.81,GOOG,25-03-2021,-0.0003
2035.55,2050.99,2014.0201,2038.86,GOOG,26-03-2021,-0.0043
2055.95,2058.43,2015.62,2027.88,GOOG,29-03-2021,0.01
2055.54,2070.78,2044.03,2057.63,GOOG,30-03-2021,-0.0002
2068.63,2093.3273,2056.745,2059.12,GOOG,31-03-2021,0.0064
2137.75,2142.94,2096.89,2097.95,GOOG,01-04-2021,0.0334
2225.55,2237.31,2151.62,2152.94,GOOG,05-04-2021,0.0411
2224.75,2237.66,2214.8,2222.5,GOOG,06-04-2021,-0.0004
2249.68,2255,2225.3303,2226.13,GOOG,07-04-2021,0.0112
2265.44,2284.005,2257.68,2277.96,GOOG,08-04-2021,0.007
2285.88,2289.04,2253.7139,2256.7,GOOG,09-04-2021,0.009
2254.79,2275.32,2238.465,2266.25,GOOG,12-04-2021,-0.0136
2267.27,2277.21,2256.09,2261.47,GOOG,13-04-2021,0.0055
2254.84,2277.99,2249.19,2275.16,GOOG,14-04-2021,-0.0055
2296.66,2306.5965,2266,2276.98,GOOG,15-04-2021,0.0185
2297.76,2306.44,2284.45,2303,GOOG,16-04-2021,0.0005
2302.4,2318.45,2287.845,2291.98,GOOG,19-04-2021,0.002
2293.63,2309.6,2271.71,2307.89,GOOG,20-04-2021,-0.0038
2293.29,2295.32,2258.57,2285.25,GOOG,21-04-2021,-0.0001
2267.92,2303.7621,2256.45,2293.23,GOOG,22-04-2021,-0.0111
2315.3,2325.82,2278.21,2283.47,GOOG,23-04-2021,0.0209
2326.74,2341.26,2313.84,2319.93,GOOG,26-04-2021,0.0049
2307.12,2337.45,2304.27,2336,GOOG,27-04-2021,-0.0084
2379.91,2452.378,2374.85,2407.145,GOOG,28-04-2021,0.0316
